Tue Jun  9 11:52:52 2020    profile.out

         524392 function calls (519748 primitive calls) in 77.295 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      337    0.001    0.000    0.002    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/inspect.py:59(isclass)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/decorator.py:33(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/readwrite/edgelist.py:28(<module>)
      328    0.001    0.000    0.002    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/posixpath.py:120(dirname)
        1    0.002    0.002    0.002    0.002 {posix.read}
        1    0.001    0.001    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/coloring/greedy_coloring.py:11(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/tree/coding.py:20(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/mis.py:15(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/utils/random_sequence.py:14(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/centrality/current_flow_betweenness_subset.py:9(<module>)
        1    0.001    0.001    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/centrality/current_flow_closeness.py:9(<module>)
     1673    0.002    0.000    0.002    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/decorator.py:215(<genexpr>)
       48    0.000    0.000    0.002    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:3540(__init__)
  228/154    0.001    0.000    0.002    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:154(_ustr)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/centrality/katz.py:13(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/distance_regular.py:10(<module>)
       16    0.000    0.000    0.002    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/argparse.py:1267(add_argument)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/readwrite/multiline_adjlist.py:27(<module>)
      250    0.001    0.000    0.002    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/coneprog.py:638(xcopy)
        1    0.001    0.001    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/generators/atlas.py:12(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/readwrite/pajek.py:23(<module>)
        1    0.002    0.002    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/linalg/linalg.py:10(<module>)
        1    0.002    0.002    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/sparse/linalg/eigen/arpack/arpack.py:7(<module>)
        8    0.000    0.000    0.002    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:2329(normalize_path)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/readwrite/gpickle.py:22(<module>)
     2120    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/swap.py:3(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/generators/duplication.py:19(<module>)
     2532    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/richclub.py:11(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/reciprocity.py:10(<module>)
       69    0.001    0.000    0.002    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:2412(__init__)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/connectivity/stoerwagner.py:9(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/community/label_propagation.py:9(<module>)
        1    0.001    0.001    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/isomorphism/vf2userfunc.py:32(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/readwrite/nx_yaml.py:15(<module>)
       11    0.001    0.000    0.002    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/_lib/decorator.py:95(__init__)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/classes/function.py:12(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/tree/recognition.py:75(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/clique.py:15(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/chains.py:10(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/centrality/degree_alg.py:11(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/generators/line.py:13(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/generators/mycielski.py:11(<module>)
      421    0.002    0.000    0.002    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/lib/function_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/_lib/_numpy_compat.py:3(<module>)
        1    0.001    0.001    0.002    0.002 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/linalg/basic.py:7(<module>)
      108    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:1492(_validate_resource_path)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/json/scanner.py:2(<module>)
     1112    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/core/getlimits.py:96(_register_known_types)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/node_classification/hmn.py:11(<module>)
       82    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:3719(__init__)
       16    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:1204(setResultsName)
     1030    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/stat.py:55(S_ISLNK)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/sparse/linalg/dsolve/linsolve.py:1(<module>)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/base64.py:3(<module>)
        1    0.000    0.000    0.001    0.001 </software/anaconda2/envs/netbfe/lib/python2.7/site-packages/decorator.pyc:decorator-gen-322>:1(_not_implemented_for)
      224    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_parse.py:237(_class_escape)
     3183    0.001    0.000    0.001    0.000 {min}
        2    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:2863(__init__)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/unittest/result.py:1(<module>)
      335    0.001    0.000    0.001    0.000 <string>:12(_make)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/classes/coreviews.py:12(<module>)
      320    0.000    0.000    0.001    0.000 {all}
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/community/quality.py:12(<module>)
      228    0.001    0.000    0.001    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/email/__init__.py:5(<module>)
        6    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/core/getlimits.py:37(__init__)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/community/community_generators.py:11(<module>)
     3335    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       10    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/_lib/_version.py:114(_compare)
     1395    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_parse.py:93(__init__)
      568    0.001    0.000    0.001    0.000 {cvxopt.blas.dot}
      336    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:2812(__getattr__)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/bisect.py:1(<module>)
        4    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/textwrap.py:374(dedent)
       76    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/drawing/nx_agraph.py:25(<module>)
      124    0.001    0.000    0.001    0.000 {cvxopt.blas.tbsv}
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/argparse.py:62(<module>)
      682    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/zipfile.py:524(ZipExtFile)
       22    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/abc.py:105(register)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/assortativity/correlation.py:3(<module>)
     19/4    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:3319(streamline)
    39/25    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/zipfile.py:443(_ZipDecrypter)
        3    0.000    0.000    0.001    0.000 <decorator-gen-1>:1(_held_figure)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/zipfile.py:456(_GenerateCRCTable)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/centrality/eigenvector.py:13(<module>)
      951    0.001    0.000    0.001    0.000 {sum}
     1420    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/email/quoprimime.py:27(<module>)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/sparse/csgraph/_validation.py:1(<module>)
      120    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:2368(__init__)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/flow/capacityscaling.py:4(<module>)
  172/118    0.000    0.000    0.001    0.000 {issubclass}
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/pickle.py:25(<module>)
      680    0.001    0.000    0.001    0.000 {vars}
      121    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/abc.py:89(<genexpr>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/simple_paths.py:6(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:2407(EntryPoint)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/convert_matrix.py:28(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/link_analysis/pagerank_alg.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/polynomial/polynomial.py:57(<module>)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/solvers.py:14(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/generators/random_clustered.py:11(<module>)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/special/_ellip_harm.py:1(<module>)
      331    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_parse.py:278(_escape)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/difflib.py:27(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/readwrite/json_graph/jit.py:34(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/generators/lattice.py:26(<module>)
     1671    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        4    0.001    0.000    0.001    0.000 {_io.open}
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/node_classification/lgc.py:11(<module>)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/spatial/transform/__init__.py:19(<module>)
        1    0.001    0.001    0.001    0.001 {posix.fork}
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/shortest_paths/astar.py:12(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/generators/stochastic.py:10(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/dominance.py:11(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/flow/networksimplex.py:4(<module>)
       30    0.001    0.000    0.001    0.000 {cvxopt.blas.trsm}
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/core/_type_aliases.py:24(<module>)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/flow/boykovkolmogorov.py:13(<module>)
       14    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:2026(__call__)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/flow/gomory_hu.py:14(<module>)
       18    0.001    0.000    0.001    0.000 {dir}
       38    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:4230(__init__)
       60    0.001    0.000    0.001    0.000 {cvxopt.blas.trmm}
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/generators/trees.py:9(<module>)
      250    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/cvxopt/coneprog.py:645(ycopy)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/generators/joint_degree_seq.py:6(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/readwrite/leda.py:10(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/euler.py:16(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/triads.py:12(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/fft/__init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/_lib/_version.py:7(<module>)
        2    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/_lib/_version.py:148(__gt__)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/components/semiconnected.py:10(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/core.py:33(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/centrality/second_order.py:32(<module>)
       52    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/linecache.py:47(checkcache)
      151    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/warnings.py:96(simplefilter)
        4    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/random.py:91(__init__)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/random.py:100(seed)
      345    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/inspect.py:67(ismethod)
      715    0.001    0.000    0.001    0.000 {sys._getframe}
       30    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/core/getlimits.py:43(<lambda>)
       44    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/ma/core.py:146(get_object_signature)
       21    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/re.py:143(search)
     15/4    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:3762(streamline)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/connectivity/kcomponents.py:4(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/numbers.py:6(<module>)
        2    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/encodings/__init__.py:71(search_function)
      131    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_parse.py:190(__init__)
       16    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/argparse.py:2330(_get_formatter)
       60    0.001    0.000    0.001    0.000 {cvxopt.lapack.potrf}
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/htmlentitydefs.py:1(<module>)
        4    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:3353(setResultsName)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/unittest/util.py:1(<module>)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/_lib/_ccallback.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {function seed at 0x7f6141abb848}
        1    0.001    0.001    0.001    0.001 diffnet.py:70(solution_to_nij)
       16    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/argparse.py:154(__init__)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/sparse/linalg/eigen/lobpcg/__init__.py:9(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/json/encoder.py:2(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/backports_abc.py:16(<module>)
      108    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/ntpath.py:56(isabs)
        3    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/argparse.py:1186(__init__)
      923    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_compile.py:101(fixup)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/sparse/linalg/isolve/lgmres.py:4(<module>)
        3    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/gettext.py:641(gettext)
      219    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/posixpath.py:112(basename)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/traversal/beamsearch.py:9(<module>)
        3    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/gettext.py:603(dgettext)
      345    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/inspect.py:208(iscode)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/threading.py:1(<module>)
       26    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/ma/core.py:6567(__init__)
       18    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:1967(find_distributions)
      473    0.001    0.000    0.001    0.000 {max}
        3    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/gettext.py:537(translation)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/ma/extras.py:10(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:1677(MemoizedZipManifests)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/isomorphism/isomorphvf2.py:129(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/generators/spectral_graph_forge.py:6(<module>)
      417    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/posixpath.py:52(isabs)
       26    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/ma/core.py:6572(getdoc)
        3    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/gettext.py:497(find)
        1    0.000    0.000    0.001    0.001 </software/anaconda2/envs/netbfe/lib/python2.7/site-packages/decorator.pyc:decorator-gen-515>:1(_random_state)
      466    0.001    0.000    0.001    0.000 {method 'dot' of 'numpy.ndarray' objects}
      868    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/version.py:244(<genexpr>)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/sparse/linalg/matfuncs.py:3(<module>)
       15    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/core/arrayprint.py:1499(_array_str_implementation)
      133    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/abc.py:128(__instancecheck__)
     1302    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/version.py:298(_parse_letter_version)
        1    0.000    0.000    0.001    0.001 </software/anaconda2/envs/netbfe/lib/python2.7/site-packages/decorator.pyc:decorator-gen-389>:1(_not_implemented_for)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/calendar.py:6(<module>)
       66    0.001    0.000    0.001    0.000 {cvxopt.base.sqrt}
      167    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/pkgutil.py:364(get_importer)
     1252    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/stat.py:24(S_IFMT)
       15    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/core/arrayprint.py:463(wrapper)
       76    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_parse.py:228(isname)
      131    0.001    0.000    0.001    0.000 {_sre.compile}
        2    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/ctypes/util.py:275(_findLib_prefix)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/algorithms/assortativity/mixing.py:4(<module>)
      181    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/_weakrefset.py:36(__init__)
       13    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/lib/utils.py:118(deprecate)
        1    0.001    0.001    0.001    0.001 diffnet.py:19(<module>)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/linalg/matfuncs.py:5(<module>)
        1    0.001    0.001    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/__init__.py:4(<module>)
        1    0.000    0.000    0.001    0.001 </software/anaconda2/envs/netbfe/lib/python2.7/site-packages/decorator.pyc:decorator-gen-457>:1(_random_state)
        1    0.000    0.000    0.001    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/_lib/six.py:1(<module>)
        1    0.000    0.000    0.001    0.001 </software/anaconda2/envs/netbfe/lib/python2.7/site-packages/decorator.pyc:decorator-gen-92>:1(_not_implemented_for)
        1    0.000    0.000    0.001    0.001 </software/anaconda2/envs/netbfe/lib/python2.7/site-packages/decorator.pyc:decorator-gen-488>:1(_not_implemented_for)
     1150    0.001    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/version.py:48(<lambda>)
      223    0.000    0.000    0.001    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_parse.py:75(opengroup)
