Tue Jun  9 11:52:52 2020    profile.out

         524392 function calls (519748 primitive calls) in 77.295 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.096    0.096 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:556(__init__)
  712/140    0.034    0.000    0.095    0.001 /software/anaconda2/envs/netbfe/lib/python2.7/sre_parse.py:414(_parse)
        1    0.014    0.014    0.091    0.091 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/readwrite/__init__.py:4(<module>)
      376    0.090    0.000    0.090    0.000 {cvxopt.base.gemv}
        1    0.001    0.001    0.087    0.087 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/packaging/requirements.py:4(<module>)
        1    0.006    0.006    0.085    0.085 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/core/__init__.py:1(<module>)
     4650    0.084    0.000    0.084    0.000 {cvxopt.blas.gemm}
        1    0.002    0.002    0.080    0.080 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/generators/geometric.py:16(<module>)
      209    0.001    0.000    0.077    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/utils/decorators.py:29(not_implemented_for)
        1    0.008    0.008    0.069    0.069 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/spatial/__init__.py:94(<module>)
        1    0.001    0.001    0.062    0.062 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/core/multiarray.py:7(<module>)
        1    0.020    0.020    0.061    0.061 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/numpy/core/overrides.py:1(<module>)
     9275    0.059    0.000    0.059    0.000 {cvxopt.blas.copy}
      131    0.001    0.000    0.054    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_compile.py:552(_code)
       14    0.000    0.000    0.054    0.004 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:2011(_by_version_descending)
       14    0.002    0.000    0.054    0.004 {sorted}
      124    0.053    0.000    0.053    0.000 {cvxopt.misc_solvers.sinv}
      109    0.000    0.000    0.052    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:3278(<genexpr>)
      108    0.001    0.000    0.051    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:2776(activate)
        1    0.009    0.009    0.049    0.049 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/scipy/linalg/__init__.py:184(<module>)
        1    0.004    0.004    0.048    0.048 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/_vendor/pyparsing.py:75(<module>)
        1    0.023    0.023    0.048    0.048 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/readwrite/graphml.py:45(<module>)
      228    0.043    0.000    0.043    0.000 {posix.listdir}
      412    0.042    0.000    0.042    0.000 {cvxopt.misc_solvers.sdot}
 1395/131    0.021    0.000    0.041    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_compile.py:64(_compile)
      669    0.018    0.000    0.041    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/decorator.py:93(__init__)
        1    0.003    0.003    0.040    0.040 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/networkx/linalg/__init__.py:1(<module>)
      149    0.002    0.000    0.040    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/site-packages/pkg_resources/__init__.py:2191(_handle_ns)
    14575    0.011    0.000    0.039    0.000 /software/anaconda2/envs/netbfe/lib/python2.7/sre_parse.py:213(get)
